Sample,Apo_Sym,Date_Deployed,Notes,spot,cage,X6.30.23,X7.5.23,X7.12.23,X7.19.23,X8.1.23,X8.9.23,X8.14.23,X8.23.23,8.28.23
58,SYM,2023.06.21,,C1,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
59,APO,2023.06.21,,B4,G5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
60,?,?,,A2,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
61,APO,2023.06.21,,B4,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
62,APO,2023.06.23,,B2,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,empty
63,SYM,2023.06.21,,C3,G4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
64,APO,2023.06.21,,A2,G2,healthy,healthy,healthy,healthy,healthy,dead,healthy,healthy,healthy
65,SYM,2023.06.23,,C1,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,sick
66,SYM,2023.06.21,,A4,G1,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy
67,APO,2023.06.21,,A1,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
68,SYM,2023.06.21,,D2,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
69,SYM,2023.06.21,,B4,G1,healthy,healthy,healthy,healthy,healthy,sick,healthy,dead,sick
70,APO,2023.06.21,,A1,S5,healthy,healthy,healthy,sick,sick,sick,healthy,healthy,healthy
71,SYM,2023.06.21,,C1,G2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
72,SYM,2023.06.21,,C3,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
73,SYM,2023.06.21,,D2,D5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
74,SYM,2023.06.21,,D2,S5,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
75,APO,2023.06.21,,A1,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
76,SYM,2023.06.23,,D4,D4,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
77,APO,2023.06.21,,B1,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
78,APO,2023.06.21,,B3,D1,healthy,healthy,empty,sick,dead,dead,dead,dead,dead
79,SYM,2023.06.21,,D3,D1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
80,SYM,2023.06.21,,D2,S1,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
81,SYM,2023.06.21,,C4,S2,healthy,healthy,sick,healthy,dead,sick,healthy,dead,healthy
82,APO,2023.06.21,,A3,S5,healthy,healthy,healthy,healthy,dead,dead,dead,dead,dead
83,SYM,2023.06.21,,D1,G5,healthy,healthy,healthy,sick,sick,sick,healthy,healthy,healthy
84,APO,2023.06.23,,B4,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
85,SYM,2023.06.23,,D4,S2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
86,APO,2023.06.21,,B3,D2,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
