,datetime,temp.a,light.a,temp.b,light.b,temp.c,light.c
1,6/20/23 17:15,16.80777778,34,16.80777778,11,16.80777778,4
2,6/20/23 17:30,16.80777778,33,16.80777778,10,16.80777778,5
3,6/20/23 17:45,16.90277778,30,16.80777778,10,16.99888889,4
4,6/20/23 18:00,17.09388889,29,16.99888889,10,17.28388889,6
5,6/20/23 18:15,17.28388889,29,17.18888889,10,17.37888889,3
6,6/20/23 18:30,17.665,8,17.57,2,17.76,0
7,6/20/23 18:45,17.665,6,17.57,1,17.76,0
8,6/20/23 19:00,17.665,6,17.665,1,18.045,1
9,6/20/23 19:15,17.76,4,17.665,1,17.95,0
10,6/20/23 19:30,17.76,2,17.76,0,18.045,0
11,6/20/23 19:45,17.855,1,17.855,0,17.95,0
12,6/20/23 20:00,17.95,0,17.95,0,17.855,0
13,6/20/23 20:15,17.95,0,17.95,0,17.855,0
14,6/20/23 20:30,18.045,0,17.95,0,17.855,0
15,6/20/23 20:45,18.045,0,17.95,0,17.855,0
16,6/20/23 21:00,17.95,0,17.95,0,17.57,0
17,6/20/23 21:15,17.95,0,17.855,0,17.57,0
18,6/20/23 21:30,17.665,0,17.665,0,17.57,0
19,6/20/23 21:45,17.665,0,17.665,0,17.57,0
20,6/20/23 22:00,17.665,0,17.57,0,17.57,0
21,6/20/23 22:15,17.665,0,17.57,0,17.665,0
22,6/20/23 22:30,17.665,0,17.665,0,17.665,0
23,6/20/23 22:45,17.665,0,17.665,0,17.665,0
24,6/20/23 23:00,17.665,0,17.665,0,17.475,0
25,6/20/23 23:15,17.57,0,17.57,0,17.37888889,0
26,6/20/23 23:30,17.57,0,17.57,0,17.475,0
27,6/20/23 23:45,17.57,0,17.57,0,17.475,0
28,6/21/23 0:00,17.57,0,17.57,0,17.37888889,0
29,6/21/23 0:15,17.475,0,17.475,0,17.57,0
30,6/21/23 0:30,17.57,0,17.57,0,17.665,0
31,6/21/23 0:45,17.665,0,17.665,0,17.475,0
32,6/21/23 1:00,17.665,0,17.665,0,17.475,0
33,6/21/23 1:15,17.665,0,17.665,0,17.57,0
34,6/21/23 1:30,17.76,0,17.665,0,17.57,0
35,6/21/23 1:45,17.76,0,17.665,0,17.475,0
36,6/21/23 2:00,17.76,0,17.665,0,17.475,0
37,6/21/23 2:15,17.76,0,17.665,0,17.37888889,0
38,6/21/23 2:30,17.665,0,17.57,0,17.475,0
39,6/21/23 2:45,17.665,0,17.57,0,17.57,0
40,6/21/23 3:00,17.665,0,17.665,0,17.57,0
41,6/21/23 3:15,17.665,0,17.57,0,17.57,0
42,6/21/23 3:30,17.665,0,17.57,0,17.57,0
43,6/21/23 3:45,17.665,0,17.665,0,17.57,0
44,6/21/23 4:00,17.665,0,17.665,0,17.09388889,0
45,6/21/23 4:15,17.665,0,17.665,0,17.57,0
46,6/21/23 4:30,17.665,0,17.665,0,17.28388889,0
47,6/21/23 4:45,17.665,0,17.665,0,17.18888889,0
48,6/21/23 5:00,17.665,0,17.57,0,17.475,0
49,6/21/23 5:15,17.665,0,17.665,0,17.37888889,0
50,6/21/23 5:30,17.665,1,17.57,0,17.37888889,0
51,6/21/23 5:45,17.475,2,17.475,0,16.99888889,0
52,6/21/23 6:00,17.28388889,2,17.18888889,0,16.99888889,0
53,6/21/23 6:15,17.28388889,4,17.18888889,1,16.99888889,0
54,6/21/23 6:30,17.18888889,4,17.09388889,1,16.90277778,0
55,6/21/23 6:45,17.09388889,6,16.99888889,2,17.18888889,2
56,6/21/23 7:00,16.99888889,8,16.99888889,3,16.99888889,1
57,6/21/23 7:15,17.09388889,13,17.09388889,4,16.99888889,4
58,6/21/23 7:30,17.28388889,19,17.18888889,7,16.71277778,4
59,6/21/23 7:45,17.37888889,24,17.28388889,8,16.80777778,7
60,6/21/23 8:00,17.37888889,29,17.28388889,11,17.28388889,8
61,6/21/23 8:15,17.475,29,17.37888889,11,17.28388889,10
62,6/21/23 8:30,17.57,29,17.475,11,16.99888889,5
63,6/21/23 8:45,17.475,34,17.37888889,12,16.42722222,1
64,6/21/23 9:00,17.09388889,24,16.99888889,9,16.52277778,2
65,6/21/23 9:15,16.80777778,27,16.71277778,10,16.61777778,4
66,6/21/23 9:30,16.90277778,32,16.80777778,12,17.09388889,10
67,6/21/23 9:45,16.90277778,41,16.90277778,15,17.28388889,14
68,6/21/23 10:00,16.99888889,46,16.90277778,17,17.18888889,14
69,6/21/23 10:15,17.18888889,20,17.09388889,10,17.18888889,20
70,6/21/23 10:30,17.18888889,41,17.09388889,18,17.28388889,11
71,6/21/23 10:45,17.28388889,39,17.18888889,17,17.28388889,11
72,6/21/23 11:00,17.28388889,55,17.28388889,24,17.37888889,31
73,6/21/23 11:15,17.28388889,56,17.28388889,25,17.37888889,19
74,6/21/23 11:30,17.28388889,65,17.28388889,29,17.28388889,32
75,6/21/23 11:45,17.37888889,20,17.28388889,9,17.28388889,9
76,6/21/23 12:00,17.37888889,23,17.37888889,11,17.18888889,9
77,6/21/23 12:15,17.37888889,59,17.37888889,29,17.28388889,28
78,6/21/23 12:30,17.37888889,64,17.37888889,32,17.28388889,33
79,6/21/23 12:45,17.475,67,17.37888889,33,17.18888889,23
80,6/21/23 13:00,17.57,47,17.475,24,17.09388889,7
81,6/21/23 13:15,17.475,56,17.37888889,29,17.18888889,5
82,6/21/23 13:30,17.475,71,17.475,37,17.28388889,18
83,6/21/23 13:45,17.57,72,17.475,39,16.99888889,11
84,6/21/23 14:00,17.57,105,17.475,38,17.18888889,16
85,6/21/23 14:15,17.95,152,17.855,64,16.99888889,14
86,6/21/23 14:30,17.76,144,17.665,65,17.09388889,11
87,6/21/23 14:45,17.855,144,17.76,64,17.18888889,15
88,6/21/23 15:00,17.855,144,17.76,63,17.475,12
89,6/21/23 15:15,18.14,122,18.14,55,17.28388889,16
90,6/21/23 15:30,18.23611111,110,18.14,49,17.475,15
91,6/21/23 15:45,18.14,102,18.045,48,17.76,12
92,6/21/23 16:00,18.14,98,18.045,45,17.57,10
93,6/21/23 16:15,18.14,80,18.045,38,17.855,8
94,6/21/23 16:30,18.23611111,71,18.14,34,17.09388889,7
95,6/21/23 16:45,18.14,59,17.95,29,17.665,6
96,6/21/23 17:00,18.14,58,18.045,28,17.76,6
97,6/21/23 17:15,18.33111111,48,18.14,23,17.37888889,2
98,6/21/23 17:30,17.95,32,17.95,15,17.28388889,1
99,6/21/23 17:45,17.76,21,17.665,9,17.28388889,2
