time_start,time_end,exact_depth,date,n_sym_1,n_apo_1,n_sym_2,n_apo_2,algae,quality_control,mean_sym,mean_apo,tide,corrected_depth,light,temp,LOGGERS,
9:19,9:21,58,10/23/23,0,34,0,38,0,good,0,36,0.50,57.50,19.79464,16.1975,XZ,
9:21,9:23,57,10/23/23,0,25,0,27,0,good,0,26,0.50,56.50,21.5855,16.228,XZ,
9:25,9:26,56,10/23/23,0,32,0,32,0,good,0,32,0.50,55.50,16.90786,16.275,XZ,
9:27,9:28,55,10/23/23,0,97,0,93,0,good,0,95,0.50,54.50,41.492,16.292,XZ,
9:29,9:30,54,10/23/23,0,47,0,45,0,good,0,46,0.50,53.50,43.549,16.2895,XZ,
9:30,9:32,55,10/23/23,0,47,0,44,0,good,0,45.5,0.50,54.50,30.24636,16.29045,XZ,
9:32,9:33,54,10/23/23,0,33,0,32,0,good,0,32.5,0.50,53.50,28.02417,16.28,XZ,
9:35,9:35,42,10/23/23,0,0,0,0,0,good,0,0,0.50,41.50,84.91,16.296,XZ,
9:38,9:41,45,10/23/23,0,71,0,69,0,good,0,70,0.50,44.50,83.31185,16.29556,XZ,
9:41,9:43,44,10/23/23,0,79,0,83,0,good,0,81,0.50,43.50,75.75556,16.29,XZ,
11:05,11:07,46,10/23/23,0,31,0,33,0,good,0,32,1.00,45.00,138.9782,16.32727,XZ,
11:07,11:09,46,10/23/23,0,49,0,54,0,good,0,51.5,1.00,45.00,181.0912,16.3212,XZ,
11:09,11:11,48,10/23/23,0,162,0,157,0,good,0,159.5,1.00,47.00,134.276,16.29,XZ,
11:12,11:14,44,10/23/23,0,104,0,99,0,good,0,101.5,1.00,43.00,107.0867,16.275,XZ,
11:15,11:18,44,10/23/23,0,16,0,19,0,good,0,17.5,1.00,43.00,282.6438,16.23571,XZ,
11:18,11:20,40,10/23/23,11,33,11,30,0,good,11,31.5,1.10,38.90,347.2563,16.1963,XZ,
11:20,11:22,42,10/23/23,2,79,2,84,0,good,2,81.5,1.10,40.90,232.1662,16.16692,XZ,
11:23,11:25,44,10/23/23,0,108,0,110,0,good,0,109,1.10,42.90,83.08353,16.19941,XZ,
11:26,11:30,40,10/23/23,24,46,22,49,0,good,23,47.5,1.10,38.90,390.9429,16.15321,XZ,
