time_start,time_end,exact_depth,date,n_sym_1,n_apo_1,n_sym_2,n_apo_2,algae,quality_control,mean_sym,mean_apo,tide,corrected_depth,light,temp,LOGGERS,
9:40,9:42,77,9/22/23,0,36,0,39,0,good,0,37.5,1.70,75.30,4.9576,17.5052,XZ,
11:21,11:23,23,9/22/23,13,6,13,6,5,good,13,6,2.60,20.40,2659.058,18.84389,VW,
11:25,11:28,21,9/22/23,6,17,8,18,40,good,7,17.5,2.60,18.40,3239.237,18.82269,VW,
11:30,11:33,29,9/22/23,1,10,1,10,75,good,1,10,2.70,26.30,1094.32,18.79667,VW,
11:35,11:39,30,9/22/23,15,57,12,60,50,good,13.5,58.5,2.70,27.30,1093.614,18.77457,VW,
11:40,11:44,34,9/22/23,68,35,69,39,5,good,68.5,37,2.70,31.30,383.159,18.74,VW,
11:44,11:48,31,9/22/23,22,41,20,42,20,good,21,41.5,2.80,28.20,1097.04,18.75679,VW,
11:49,11:54,21,9/22/23,1,34,0,29,90,good,0.5,31.5,2.80,18.20,604.4661,18.76957,VW,
11:56,11:59,17,9/22/23,1,28,0,25,80,good,0.5,26.5,2.90,14.10,4575.634,18.89286,VW,
12:01,12:05,17,9/22/23,4,40,6,36,75,good,5,38,2.90,14.10,1627.136,18.87829,VW,
11:22,11:25,39,9/22/23,18,59,16,58,0,good,17,58.5,2.60,36.40,330.9356,18.82722,XZ,
11:27,11:30,35,9/22/23,17,9,15,6,0,good,16,7.5,2.70,32.30,653.5093,18.792,XZ,
11:32,11:34,30,9/22/23,21,2,17,3,25,good,19,2.5,2.70,27.30,542.29,18.755,XZ,
11:36,11:41,32,9/22/23,41,13,40,12,10,good,40.5,12.5,2.70,29.30,734.6286,18.72714,XZ,
11:41,11:47,35,9/22/23,55,28,60,20,5,bad,57.5,24,2.70,32.30,662.4533,18.69833,XZ,
11:47,11:53,33,9/22/23,38,53,46,50,5,bad,42,51.5,2.80,30.20,231.3953,18.48,XZ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
