#,Date-Time (EST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,11/05/2023 13:46:16,24.41,8734.72
2,11/05/2023 13:46:26,24.32,8967.68
3,11/05/2023 13:46:36,24.24,9799.68
4,11/05/2023 13:46:46,24.06,9431.04
5,11/05/2023 13:46:56,23.89,9213.44
6,11/05/2023 13:47:06,23.81,31662.08
7,11/05/2023 13:47:16,24.02,33382.40
8,11/05/2023 13:47:26,24.06,33085.44
9,11/05/2023 13:47:36,24.15,33525.76
10,11/05/2023 13:47:46,24.28,33904.64
11,11/05/2023 13:47:56,24.32,33802.24
12,11/05/2023 13:48:06,24.45,33843.20
13,11/05/2023 13:48:16,24.41,33863.68
14,11/05/2023 13:48:26,24.45,33699.84
15,11/05/2023 13:48:36,24.49,33566.72
16,11/05/2023 13:48:46,24.49,32839.68
17,11/05/2023 13:48:56,24.58,32747.52
18,11/05/2023 13:49:06,24.62,32768.00
19,11/05/2023 13:49:16,24.66,32757.76
20,11/05/2023 13:49:26,24.75,33536.00
21,11/05/2023 13:49:36,24.79,33361.92
22,11/05/2023 13:49:46,24.75,31047.68
23,11/05/2023 13:49:56,24.79,30453.76
24,11/05/2023 13:50:06,24.66,31272.96
25,11/05/2023 13:50:16,24.66,32430.08
26,11/05/2023 13:50:26,24.71,32727.04
27,11/05/2023 13:50:36,24.71,32542.72
28,11/05/2023 13:50:46,24.75,32276.48
29,11/05/2023 13:50:56,24.75,32112.64
30,11/05/2023 13:51:06,24.79,32225.28
31,11/05/2023 13:51:16,24.79,32440.32
32,11/05/2023 13:51:26,24.88,32512.00
33,11/05/2023 13:51:36,24.92,32471.04
34,11/05/2023 13:51:46,24.92,32430.08
35,11/05/2023 13:51:56,24.92,31887.36
36,11/05/2023 13:52:06,24.97,31856.64
37,11/05/2023 13:52:16,24.97,31764.48
38,11/05/2023 13:52:26,24.92,32051.20
39,11/05/2023 13:52:36,24.92,32061.44
40,11/05/2023 13:52:46,24.97,31907.84
41,11/05/2023 13:52:56,25.14,19742.72
42,11/05/2023 13:53:06,25.09,19363.84
43,11/05/2023 13:53:16,24.92,7923.20
44,11/05/2023 13:53:26,24.45,4633.60
45,11/05/2023 13:53:36,24.19,42147.84
46,11/05/2023 13:53:46,24.19,9553.92
47,11/05/2023 13:53:56,23.85,37478.40
48,11/05/2023 13:54:06,24.15,35512.32
49,11/05/2023 13:54:16,24.28,4742.40
50,11/05/2023 13:54:26,23.59,14080.00
51,11/05/2023 13:54:36,23.16,1978.88
52,11/05/2023 13:54:46,22.69,13998.08
53,11/05/2023 13:54:56,22.31,11909.12
54,11/05/2023 13:55:06,21.88,6594.56
55,11/05/2023 13:55:16,21.45,6433.28
56,11/05/2023 13:55:26,21.06,5857.28
57,11/05/2023 13:55:36,20.76,5233.92
58,11/05/2023 13:55:46,20.46,5603.84
59,11/05/2023 13:55:56,20.16,3467.52
60,11/05/2023 13:56:06,19.90,5649.92
61,11/05/2023 13:56:16,20.03,16629.76
62,11/05/2023 13:56:26,20.07,17326.08
63,11/05/2023 13:56:36,19.99,14341.12
64,11/05/2023 13:56:46,20.20,29603.84
65,11/05/2023 13:56:56,20.07,5365.76
66,11/05/2023 13:57:06,19.73,14223.36
67,11/05/2023 13:57:16,19.43,6177.28
68,11/05/2023 13:57:26,19.17,5498.88
69,11/05/2023 13:57:36,18.92,5793.28
70,11/05/2023 13:57:46,18.70,5859.84
71,11/05/2023 13:57:56,18.57,5509.12
72,11/05/2023 13:58:06,18.36,5164.80
73,11/05/2023 13:58:16,18.27,6064.64
74,11/05/2023 13:58:26,18.14,6200.32
75,11/05/2023 13:58:36,17.97,6402.56
76,11/05/2023 13:58:46,17.84,5429.76
77,11/05/2023 13:58:56,17.76,5611.52
78,11/05/2023 13:59:06,17.80,16353.28
79,11/05/2023 13:59:16,17.63,2714.88
80,11/05/2023 13:59:26,17.50,3764.48
81,11/05/2023 13:59:36,17.33,2529.92
82,11/05/2023 13:59:46,17.33,4967.68
83,11/05/2023 13:59:56,17.20,7667.20
84,11/05/2023 14:00:06,17.11,6528.00
85,11/05/2023 14:00:16,17.11,10654.72
86,11/05/2023 14:00:26,17.07,5731.84
87,11/05/2023 14:00:36,16.99,6822.40
88,11/05/2023 14:00:46,16.94,7283.20
89,11/05/2023 14:00:56,16.81,5598.72
90,11/05/2023 14:01:06,16.73,1992.96
91,11/05/2023 14:01:16,16.64,2846.72
92,11/05/2023 14:01:26,16.60,2481.92
93,11/05/2023 14:01:36,16.47,9313.28
