#,Date-Time (EST),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,11/13/2023 09:49:21,16.43,338.40
2,11/13/2023 09:49:29,16.60,2556.16
3,11/13/2023 09:49:37,16.81,1642.24
4,11/13/2023 09:49:45,16.99,542.40
5,11/13/2023 09:49:53,17.20,12.01
6,11/13/2023 09:50:01,17.33,4.78
7,11/13/2023 09:50:09,17.37,26.70
8,11/13/2023 09:50:17,17.46,24.52
9,11/13/2023 09:50:25,17.50,24.96
10,11/13/2023 09:50:33,17.54,25.39
11,11/13/2023 09:50:41,17.50,28.44
12,11/13/2023 09:50:49,17.54,18.16
13,11/13/2023 09:50:57,17.54,14.22
14,11/13/2023 09:51:05,17.50,14.00
15,11/13/2023 09:51:13,17.50,12.23
16,11/13/2023 09:51:21,17.50,12.45
17,11/13/2023 09:51:29,17.41,12.45
18,11/13/2023 09:51:37,17.37,12.69
19,11/13/2023 09:51:45,17.37,12.67
20,11/13/2023 09:51:53,17.33,12.91
21,11/13/2023 09:52:01,17.29,12.91
22,11/13/2023 09:52:09,17.29,11.58
23,11/13/2023 09:52:17,17.20,13.32
24,11/13/2023 09:52:25,17.20,16.83
25,11/13/2023 09:52:33,17.16,13.35
26,11/13/2023 09:52:41,17.11,6.77
27,11/13/2023 09:52:49,17.07,5.24
28,11/13/2023 09:52:57,17.07,329.92
29,11/13/2023 09:53:05,16.99,289.76
30,11/13/2023 09:53:13,16.99,2905.60
31,11/13/2023 09:53:21,16.94,3744.00
32,11/13/2023 09:53:29,16.86,4792.32
33,11/13/2023 09:53:37,17.03,28241.92
34,11/13/2023 09:53:45,17.11,28518.40
35,11/13/2023 09:53:53,17.16,28661.76
36,11/13/2023 09:54:01,17.16,28579.84
37,11/13/2023 09:54:09,17.16,28846.08
38,11/13/2023 09:54:17,17.16,28958.72
39,11/13/2023 09:54:25,17.16,28968.96
40,11/13/2023 09:54:33,17.03,29050.88
41,11/13/2023 09:54:41,16.99,28815.36
42,11/13/2023 09:54:49,16.94,23838.72
43,11/13/2023 09:54:57,16.94,29194.24
44,11/13/2023 09:55:05,16.90,29153.28
45,11/13/2023 09:55:13,16.90,29429.76
46,11/13/2023 09:55:21,16.81,29583.36
47,11/13/2023 09:55:29,16.81,29501.44
48,11/13/2023 09:55:37,16.81,29440.00
49,11/13/2023 09:55:45,16.73,29562.88
50,11/13/2023 09:55:53,16.69,30044.16
51,11/13/2023 09:56:01,16.64,30760.96
52,11/13/2023 09:56:09,16.60,31488.00
53,11/13/2023 09:56:17,16.60,31989.76
54,11/13/2023 09:56:25,16.56,21288.96
55,11/13/2023 09:56:33,16.34,14412.80
56,11/13/2023 09:56:41,16.17,23582.72
57,11/13/2023 09:56:49,16.00,5521.92
58,11/13/2023 09:56:57,15.91,23818.24
59,11/13/2023 09:57:05,15.78,24217.60
60,11/13/2023 09:57:13,15.74,24483.84
61,11/13/2023 09:57:21,15.70,24668.16
62,11/13/2023 09:57:29,15.61,25221.12
63,11/13/2023 09:57:37,15.61,25733.12
64,11/13/2023 09:57:45,15.61,26378.24
65,11/13/2023 09:57:53,15.57,27156.48
66,11/13/2023 09:58:01,15.61,27883.52
67,11/13/2023 09:58:09,15.57,28579.84
68,11/13/2023 09:58:17,15.61,29245.44
69,11/13/2023 09:58:25,15.61,29911.04
70,11/13/2023 09:58:33,15.61,30402.56
71,11/13/2023 09:58:41,15.57,30545.92
72,11/13/2023 09:58:49,15.61,30955.52
73,11/13/2023 09:58:57,15.61,31498.24
74,11/13/2023 09:59:05,15.61,31887.36
75,11/13/2023 09:59:13,15.66,31918.08
76,11/13/2023 09:59:21,15.70,32368.64
77,11/13/2023 09:59:29,15.70,33085.44
78,11/13/2023 09:59:37,15.74,33177.60
79,11/13/2023 09:59:45,15.74,33372.16
80,11/13/2023 09:59:53,15.87,1018.88
81,11/13/2023 10:00:01,15.66,4227.84
82,11/13/2023 10:00:09,15.44,5213.44
83,11/13/2023 10:00:17,15.23,4367.36
84,11/13/2023 10:00:25,14.97,4750.08
85,11/13/2023 10:00:33,14.75,764.80
86,11/13/2023 10:00:41,14.71,2707.20
