#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,11/03/2023 08:02:34,27.50,88.44
2,11/03/2023 08:02:44,27.67,90.16
3,11/03/2023 08:02:54,27.84,88.44
4,11/03/2023 08:03:04,28.01,102.16
5,11/03/2023 08:03:14,28.18,98.32
6,11/03/2023 08:03:24,28.44,92.28
7,11/03/2023 08:03:34,28.65,87.16
8,11/03/2023 08:03:44,28.83,91.44
9,11/03/2023 08:03:54,29.08,159.72
10,11/03/2023 08:04:04,29.26,124.48
11,11/03/2023 08:04:14,29.47,134.76
12,11/03/2023 08:04:24,29.60,137.32
13,11/03/2023 08:04:34,29.73,134.84
14,11/03/2023 08:04:44,29.81,141.56
15,11/03/2023 08:04:54,29.90,67.80
16,11/03/2023 08:05:04,29.94,97.84
17,11/03/2023 08:05:14,29.98,91.80
18,11/03/2023 08:05:24,30.03,87.56
19,11/03/2023 08:05:34,30.07,86.20
20,11/03/2023 08:05:44,30.16,104.72
21,11/03/2023 08:05:54,30.16,106.88
22,11/03/2023 08:06:04,30.11,95.28
23,11/03/2023 08:06:14,30.16,16.73
24,11/03/2023 08:06:24,30.20,6.19
25,11/03/2023 08:06:34,30.20,83.28
26,11/03/2023 08:06:44,30.16,79.38
27,11/03/2023 08:06:54,30.16,59.02
28,11/03/2023 08:07:04,30.20,85.40
29,11/03/2023 08:07:14,30.16,142.52
30,11/03/2023 08:07:24,30.16,144.24
31,11/03/2023 08:07:34,30.11,95.72
32,11/03/2023 08:07:44,30.07,109.88
33,11/03/2023 08:07:54,29.94,94.44
34,11/03/2023 08:08:04,29.90,83.28
35,11/03/2023 08:08:14,29.81,25.97
36,11/03/2023 08:08:24,29.60,124.48
37,11/03/2023 08:08:34,29.34,0.00
38,11/03/2023 08:08:44,29.08,0.00
39,11/03/2023 08:08:54,28.83,19.08
40,11/03/2023 08:09:04,28.48,0.00
41,11/03/2023 08:09:14,28.23,0.00
42,11/03/2023 08:09:24,27.84,0.00
43,11/03/2023 08:09:34,27.54,0.00
44,11/03/2023 08:09:44,27.24,0.00
45,11/03/2023 08:09:54,26.94,0.00
46,11/03/2023 08:10:04,26.64,0.00
47,11/03/2023 08:10:14,26.30,0.00
48,11/03/2023 08:10:24,26.04,0.00
49,11/03/2023 08:10:34,25.74,0.00
50,11/03/2023 08:10:44,25.44,0.00
51,11/03/2023 08:10:54,25.18,0.00
52,11/03/2023 08:11:04,24.97,0.00
53,11/03/2023 08:11:14,24.71,0.00
54,11/03/2023 08:11:24,24.49,0.00
55,11/03/2023 08:11:34,24.24,0.00
56,11/03/2023 08:11:44,24.06,0.00
57,11/03/2023 08:11:54,23.81,0.00
58,11/03/2023 08:12:04,23.59,0.00
59,11/03/2023 08:12:14,23.38,0.00
60,11/03/2023 08:12:24,23.12,0.00
61,11/03/2023 08:12:34,22.82,0.00
62,11/03/2023 08:12:44,22.56,0.00
63,11/03/2023 08:12:54,22.31,0.00
64,11/03/2023 08:13:04,22.05,0.00
65,11/03/2023 08:13:14,21.75,0.00
66,11/03/2023 08:13:24,21.49,0.00
67,11/03/2023 08:13:34,21.28,0.00
68,11/03/2023 08:13:44,21.06,0.00
69,11/03/2023 08:13:54,20.80,0.00
70,11/03/2023 08:14:04,20.55,0.00
71,11/03/2023 08:14:14,20.42,0.00
72,11/03/2023 08:14:24,20.25,0.00
73,11/03/2023 08:14:34,19.95,0.00
74,11/03/2023 08:14:44,19.77,0.00
75,11/03/2023 08:14:54,19.65,0.00
76,11/03/2023 08:15:04,19.43,0.00
77,11/03/2023 08:15:14,19.30,0.00
78,11/03/2023 08:15:24,19.13,0.00
79,11/03/2023 08:15:34,18.96,0.00
80,11/03/2023 08:15:44,18.79,0.00
81,11/03/2023 08:15:54,18.70,0.00
82,11/03/2023 08:16:04,18.49,0.00
83,11/03/2023 08:16:14,18.40,0.00
84,11/03/2023 08:16:24,18.23,0.00
85,11/03/2023 08:16:34,18.10,0.00
86,11/03/2023 08:16:44,17.97,0.00
87,11/03/2023 08:16:54,17.89,0.00
88,11/03/2023 08:17:04,17.72,0.00
89,11/03/2023 08:17:14,17.59,0.00
90,11/03/2023 08:17:24,17.50,0.00
91,11/03/2023 08:17:34,17.37,0.00
92,11/03/2023 08:17:44,17.24,0.00
93,11/03/2023 08:17:54,17.11,0.00
94,11/03/2023 08:18:04,17.03,0.00
95,11/03/2023 08:18:14,16.90,0.00
96,11/03/2023 08:18:24,16.77,0.00
97,11/03/2023 08:18:34,16.69,0.00
98,11/03/2023 08:18:44,16.56,0.00
99,11/03/2023 08:18:54,16.51,0.00
100,11/03/2023 08:19:04,16.39,0.00
101,11/03/2023 08:19:14,16.30,0.00
102,11/03/2023 08:19:24,16.21,0.00
103,11/03/2023 08:19:34,16.13,0.00
104,11/03/2023 08:19:44,16.08,0.00
105,11/03/2023 08:19:54,15.96,0.00
106,11/03/2023 08:20:04,15.91,0.00
107,11/03/2023 08:20:14,15.83,0.00
108,11/03/2023 08:20:24,15.74,0.00
109,11/03/2023 08:20:34,15.66,0.00
110,11/03/2023 08:20:44,15.61,0.00
111,11/03/2023 08:20:54,15.48,0.00
112,11/03/2023 08:21:04,15.44,0.00
113,11/03/2023 08:21:14,15.40,0.00
114,11/03/2023 08:21:24,15.27,0.00
115,11/03/2023 08:21:34,15.27,0.00
116,11/03/2023 08:21:44,15.14,0.00
117,11/03/2023 08:21:54,15.10,0.00
118,11/03/2023 08:22:04,15.06,0.00
119,11/03/2023 08:22:14,14.97,0.00
120,11/03/2023 08:22:24,14.97,0.00
121,11/03/2023 08:22:34,14.88,0.00
122,11/03/2023 08:22:44,14.80,0.00
123,11/03/2023 08:22:54,14.75,0.00
124,11/03/2023 08:23:04,14.67,0.00
125,11/03/2023 08:23:14,14.63,0.00
126,11/03/2023 08:23:24,14.58,0.00
127,11/03/2023 08:23:34,14.54,0.00
128,11/03/2023 08:23:44,14.50,0.00
129,11/03/2023 08:23:54,14.41,0.00
130,11/03/2023 08:24:04,14.41,0.00
131,11/03/2023 08:24:14,14.33,0.00
132,11/03/2023 08:24:24,14.33,0.00
133,11/03/2023 08:24:34,14.28,0.00
134,11/03/2023 08:24:44,14.20,0.00
135,11/03/2023 08:24:54,14.15,0.00
136,11/03/2023 08:25:04,14.11,0.00
137,11/03/2023 08:25:14,14.11,0.00
138,11/03/2023 08:25:24,14.07,0.00
139,11/03/2023 08:25:34,14.03,0.00
140,11/03/2023 08:25:44,14.03,0.00
141,11/03/2023 08:25:54,13.98,0.00
142,11/03/2023 08:26:04,13.94,0.00
143,11/03/2023 08:26:14,13.94,0.00
144,11/03/2023 08:26:24,13.85,0.00
145,11/03/2023 08:26:34,13.81,0.00
146,11/03/2023 08:26:44,13.77,0.00
147,11/03/2023 08:26:54,13.77,0.00
148,11/03/2023 08:27:04,13.73,0.00
149,11/03/2023 08:27:14,13.64,0.00
150,11/03/2023 08:27:24,13.64,0.00
151,11/03/2023 08:27:34,13.64,0.00
152,11/03/2023 08:27:44,13.60,0.00
153,11/03/2023 08:27:54,13.60,0.00
154,11/03/2023 08:28:04,13.51,0.00
155,11/03/2023 08:28:14,13.51,0.00
156,11/03/2023 08:28:24,13.47,0.00
157,11/03/2023 08:28:34,13.47,0.00
158,11/03/2023 08:28:44,13.47,0.00
159,11/03/2023 08:28:54,13.38,0.00
160,11/03/2023 08:29:04,13.38,0.00
161,11/03/2023 08:29:14,13.34,0.00
162,11/03/2023 08:29:24,13.30,0.00
163,11/03/2023 08:29:34,13.30,0.00
164,11/03/2023 08:29:44,13.30,0.00
165,11/03/2023 08:29:54,13.25,0.00
166,11/03/2023 08:30:04,13.21,0.00
167,11/03/2023 08:30:14,13.21,0.00
168,11/03/2023 08:30:24,13.21,0.00
169,11/03/2023 08:30:34,13.21,0.00
170,11/03/2023 08:30:44,13.17,0.00
171,11/03/2023 08:30:54,13.17,0.00
172,11/03/2023 08:31:04,13.12,0.00
173,11/03/2023 08:31:14,13.12,0.00
174,11/03/2023 08:31:24,13.08,0.00
175,11/03/2023 08:31:34,13.08,0.00
176,11/03/2023 08:31:44,13.04,0.00
177,11/03/2023 08:31:54,13.00,0.00
178,11/03/2023 08:32:04,13.00,0.00
179,11/03/2023 08:32:14,13.00,0.00
180,11/03/2023 08:32:24,12.95,0.00
181,11/03/2023 08:32:34,12.95,0.00
182,11/03/2023 08:32:44,12.91,0.00
183,11/03/2023 08:32:54,12.91,0.00
184,11/03/2023 08:33:04,12.87,0.00
185,11/03/2023 08:33:14,12.78,0.00
186,11/03/2023 08:33:24,12.78,0.00
187,11/03/2023 08:33:34,12.78,0.00
188,11/03/2023 08:33:44,12.78,0.00
189,11/03/2023 08:33:54,12.78,0.00
190,11/03/2023 08:34:04,12.78,0.00
