,sample,spot,cage,sample_id,Apo_Sym,Date_Deployed,Date_Collected,Notes,Present_in_lab
89,106,B1,G2,G2-B1-106,APO,2023.06.23,2023.10.09,,
126,153,B2,G2,G2-B2-153,APO,2023.06.21,2023.10.09,,
92,109,B3,G2,G2-B3-109,APO,2023.06.21,2023.10.09,,
169,202,B4,G2,G2-B4-202,APO,2023.06.23,2023.10.09,,
70,84,C1,G2,G2-C1-84,SYM,2023.06.21,2023.10.09,,
130,157,C2,G2,G2-C2-157,SYM,2023.06.21,2023.10.09,,
142,172,C3,G2,G2-C3-172,SYM,2023.06.21,2023.10.09,,
48,57,C4,G2,G2-C4-57,SYM,2023.06.21,2023.10.09,,
194,NA,D1,G2,G2-D1-NA,NA,NA,NA,NA,
170,203,D2,G2,G2-D2-203,SYM,2023.06.21,2023.10.09,,
146,177,D3,G2,G2-D3-177,SYM,2023.06.21,2023.10.09,,
30,34,D4,G2,G2-D4-34,SYM,2023.06.21,2023.10.09,,
127,154,A1,G4,G4-A1-154,APO,2023.06.21,2023.10.09,,
39,46,A2,G4,G4-A2-46,APO,2023.06.21,NA,,
180,216,A3,G4,G4-A3-216,APO,2023.06.21,2023.10.09,,
124,151,A4,G4,G4-A4-151,APO,2023.06.21,2023.10.09,,
17,17,B1,G4,G4-B1-17,APO,2023.06.21,2023.10.09,,
192,232,B2,G4,G4-B2-232,APO,2023.06.21,2023.10.09,,
128,155,B3,G4,G4-B3-155,APO,2023.06.23,2023.10.09,,
12,12,B4,G4,G4-B4-12,APO,2023.06.23,2023.10.09,,
134,162,C1,G4,G4-C1-162,SYM,2023.06.21,2023.10.09,,
35,42,C2,G4,G4-C2-42,SYM,2023.06.21,2023.10.09,,
59,72,C3,G4,G4-C3-72,SYM,2023.06.21,2023.10.09,,
111,134,C4,G4,G4-C4-134,SYM,2023.06.23,2023.10.09,,
6,6,D1,G4,G4-D1-6,SYM,2023.06.21,2023.10.09,,
158,189,D2,G4,G4-D2-189,SYM,2023.06.21,2023.10.09,,
114,138,D3,G4,G4-D3-138,SYM,2023.06.21,2023.10.09,,
33,40,D4,G4,G4-D4-40,SYM,2023.06.23,2023.10.09,,
90,107,A1,G5,G5-A1-107,APO,2023.06.23,2023.10.09,,
183,220,A2,G5,G5-A2-220,APO,2023.06.23,2023.10.09,,
96,117,A3,G5,G5-A3-117,APO,2023.06.21,2023.10.09,,
14,14,A4,G5,G5-A4-14,APO,2023.06.21,2023.10.09,,
106,127,B1,G5,G5-B1-127,APO,2023.06.21,2023.10.09,,
155,186,B2,G5,G5-B2-186,APO,2023.06.21,2023.10.09,,
19,19,B3,G5,G5-B3-19,APO,2023.06.21,2023.10.09,,
55,67,B4,G5,G5-B4-67,APO,2023.06.21,2023.10.09,,
41,49,C1,G5,G5-C1-49,SYM,2023.06.21,2023.10.09,,
184,221,C2,G5,G5-C2-221,SYM,2023.06.21,2023.10.09,,
47,56,C3,G5,G5-C3-56,SYM,2023.06.21,2023.10.09,,
34,41,C4,G5,G5-C4-41,SYM,2023.06.21,2023.10.09,,
83,99,D1,G5,G5-D1-99,SYM,2023.06.21,2023.10.09,,
29,33,D2,G5,G5-D2-33,SYM,2023.06.21,2023.10.09,,
23,25,D3,G5,G5-D3-25,SYM,2023.06.21,2023.10.09,,
196,NA,D4,G5,G5-D4-NA,NA,NA,NA,NA,
16,16,NA,NA,NA,APO,2023.06.21,NA,LOST,
62,75,NA,NA,NA,APO,2023.06.23,NA,LOST,
63,77,NA,NA,NA,APO,2023.06.23,NA,LOST,
66,80,NA,NA,NA,APO,2023.06.21,NA,LOST,
77,92,NA,NA,NA,APO,2023.06.21,NA,LOST,
74,89,A1,S1,S1-A1-89,APO,2023.06.21,2023.10.09,,
25,29,A2,S1,S1-A2-29,?,,2023.10.09,,
176,210,A3,S1,S1-A3-210,APO,2023.06.21,2023.10.09,,
95,116,A4,S1,S1-A4-116,APO,2023.06.23,2023.10.09,,
9,9,B1,S1,S1-B1-9,APO,2023.06.21,2023.10.09,,
186,224,B2,S1,S1-B2-224,APO,2023.06.21,2023.10.09,,
18,18,B3,S1,S1-B3-18,APO,2023.06.21,2023.10.09,,
174,208,B4,S1,S1-B4-208,APO,2023.06.23,2023.10.09,,
143,173,C1,S1,S1-C1-173,SYM,2023.06.21,2023.10.09,,
193,233,C2,S1,S1-C2-233,SYM,2023.06.21,2023.10.09,,
120,146,C3,S1,S1-C3-146,SYM,2023.06.21,2023.10.09,,
177,211,C4,S1,S1-C4-211,SYM,2023.06.23,2023.10.09,,
50,61,D1,S1,S1-D1-61,SYM,2023.06.21,2023.10.09,,
80,96,D2,S1,S1-D2-96,SYM,2023.06.21,2023.10.09,,
182,219,D3,S1,S1-D3-219,SYM,2023.06.21,2023.10.09,,
46,55,D4,S1,S1-D4-55,SYM,2023.06.21,2023.10.09,,
132,160,A1,S2,S2-A1-160,APO,2023.06.23,2023.10.09,,
37,44,A2,S2,S2-A2-44,APO,2023.06.23,2023.10.09,,
51,62,A3,S2,S2-A3-62,APO,2023.06.23,2023.10.09,,
190,230,A4,S2,S2-A4-230,APO,2023.06.23,2023.10.09,,
99,120,B1,S2,S2-B1-120,APO,2023.06.23,2023.10.09,,
87,104,B2,S2,S2-B2-104,APO,2023.06.23,2023.10.09,,
3,3,B3,S2,S2-B3-3,APO,2023.06.23,2023.10.09,,
147,178,B4,S2,S2-B4-178,APO,2023.06.23,2023.10.09,,
131,158,C1,S2,S2-C1-158,SYM,2023.06.21,2023.10.09,,
123,150,C2,S2,S2-C2-150,SYM,2023.06.21,2023.10.09,,
71,86,C3,S2,S2-C3-86,SYM,2023.06.21,2023.10.09,,
81,97,C4,S2,S2-C4-97,SYM,2023.06.21,2023.10.09,,
163,195,D1,S2,S2-D1-195,SYM,2023.06.21,2023.10.09,,
67,81,D2,S2,S2-D2-81,SYM,2023.06.21,2023.10.09,,
144,174,D3,S2,S2-D3-174,SYM,2023.06.21,2023.10.09,,
85,102,D4,S2,S2-D4-102,SYM,2023.06.23,2023.10.09,,
165,198,A1,S4,S4-A1-198,APO,2023.06.23,2023.10.09,,
36,43,A2,S4,S4-A2-43,APO,2023.06.21,2023.10.09,,
151,182,A3,S4,S4-A3-182,APO,2023.06.21,2023.10.09,,
43,51,A4,S4,S4-A4-51,APO,2023.06.21,2023.10.09,,
101,122,B1,S4,S4-B1-122,APO,2023.06.23,2023.10.09,,
122,149,B2,S4,S4-B2-149,APO,2023.06.21,2023.10.09,,
160,192,B3,S4,S4-B3-192,APO,2023.06.21,2023.10.09,,
121,147,B4,S4,S4-B4-147,APO,2023.06.21,2023.10.09,,
129,156,C1,S4,S4-C1-156,SYM,2023.06.23,2023.10.09,,
88,105,C2,S4,S4-C2-105,SYM,2023.06.21,2023.10.09,,
40,47,C3,S4,S4-C3-47,SYM,2023.06.21,2023.10.09,,
116,141,C4,S4,S4-C4-141,SYM,2023.06.21,2023.10.09,,
117,142,D1,S4,S4-D1-142,SYM,2023.06.21,2023.10.09,,
150,181,D2,S4,S4-D2-181,SYM,2023.06.21,2023.10.09,,
118,143,D3,S4,S4-D3-143,SYM,2023.06.21,2023.10.09,,
109,132,D4,S4,S4-D4-132,SYM,2023.06.21,2023.10.09,,
69,83,A1,S5,S5-A1-83,APO,2023.06.21,2023.10.09,,
171,204,A2,S5,S5-A2-204,APO,2023.06.21,2023.10.09,,
82,98,A3,S5,S5-A3-98,APO,2023.06.21,2023.10.09,,
27,31,A4,S5,S5-A4-31,APO,2023.06.21,2023.10.09,,
141,171,B1,S5,S5-B1-171,APO,2023.06.23,2023.10.09,,
52,63,B2,S5,S5-B2-63,APO,2023.06.21,2023.10.09,,
4,4,B3,S5,S5-B3-4,APO,2023.06.23,2023.10.09,,
110,133,B4,S5,S5-B4-133,APO,2023.06.23,2023.10.09,,
61,74,C1,S5,S5-C1-74,SYM,2023.06.23,2023.10.09,,
139,169,C2,S5,S5-C2-169,SYM,2023.06.21,2023.10.09,,
38,45,C3,S5,S5-C3-45,SYM,2023.06.21,2023.10.09,,
178,213,C4,S5,S5-C4-213,SYM,2023.06.21,2023.10.09,,
168,201,D1,S5,S5-D1-201,SYM,2023.06.21,2023.10.09,,
73,88,D2,S5,S5-D2-88,SYM,2023.06.21,2023.10.09,,
156,187,D3,S5,S5-D3-187,SYM,2023.06.21,2023.10.09,,
148,179,D4,S5,S5-D4-179,SYM,2023.06.21,2023.10.09,,
