spot,G1,G2,G4,G5,D1,D2,D4,D5,S1,S2,S4,S5
A1,126,227,154,107,183,79,161,39,89,160,198,83
A2,170,73,46,220,68,225,60,167,29,44,43,204
A3,231,200,216,117,8,188,10,180,210,62,182,98
A4,78,193,151,14,131,139,163,199,116,230,51,31
B1,190,106,17,127,226,91,137,108,9,120,122,171
B2,24,153,232,186,2,30,71,11,224,104,149,63
B3,125,109,155,19,94,103,214,64,18,3,192,4
B4,82,202,12,67,32,100,70,53,208,178,147,133
C1,124,84,162,49,209,36,65,7,173,158,156,74
C2,152,157,42,221,184,15,1,121,233,150,105,169
C3,50,172,72,56,114,128,185,168,146,86,47,45
C4,13,57,134,41,222,145,110,217,211,97,141,213
D1,176,NA,6,99,205,196,123,136,61,195,142,201
D2,26,203,189,33,54,194,207,87,96,81,181,88
D3,118,177,138,25,95,23,119,166,219,174,143,187
D4,22,34,40,NA,NA,5,90,NA,55,102,132,179
