sample,spot,cage,sample_id,apo_sym,date_deployed,date_collected,treatment,Notes,Present_in_lab,survival_6.30.23,survival_7.5.23,survival_7.12.23,survival_7.19.23,survival_8.1.23,survival_8.9.23,survival_8.14.23,survival_8.23.23,survival_8.28.23,survival_9.6.23,survival_9.13.23,survival_9.20.23,survival_9.29.23,survival_10.3.23,survival_10.10.23,end_status,date_mortality,days_alive
65,C1,D4,D4-C1-65,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
1,C2,D4,D4-C2-1,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
185,C3,D4,D4-C3-185,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
110,C4,D4,D4-C4-110,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
123,D1,D4,D4-D1-123,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
207,D2,D4,D4-D2-207,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
119,D3,D4,D4-D3-119,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
90,D4,D4,D4-D4-90,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
39,A1,D5,D5-A1-39,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
167,A2,D5,D5-A2-167,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
180,A3,D5,D5-A3-180,APO,2023.06.21,2023.10.10,deep,This one is missing?,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Missing,2023.10.10,112
199,A4,D5,D5-A4-199,APO,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
108,B1,D5,D5-B1-108,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
11,B2,D5,D5-B2-11,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
64,B3,D5,D5-B3-64,APO,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
53,B4,D5,D5-B4-53,APO,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
7,C1,D5,D5-C1-7,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
121,C2,D5,D5-C2-121,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
168,C3,D5,D5-C3-168,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
217,C4,D5,D5-C4-217,SYM,2023.06.23,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,110
136,D1,D5,D5-D1-136,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
87,D2,D5,D5-D2-87,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
166,D3,D5,D5-D3-166,SYM,2023.06.21,2023.10.10,deep,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.10,112
176,A1,G1,G1-A1-176,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
124,A2,G1,G1-A2-124,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
190,A3,G1,G1-A3-190,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
126,A4,G1,G1-A4-126,APO,2023.06.21,2023.10.09,control,,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alive,2023.10.9,111
