sample,spot,cage,sample_id,Apo_Sym,Date_Deployed,Date_Collected,Notes,Present_in_lab,6.30.23,7.5.23,7.12.23,7.19.23,8.1.23,8.9.23,8.14.23,8.23.23,8.28.23,9.6.23,9.13.23,9.20.23,9.29.23,10.3.23,10.10.23
173,C1,S1,S1-C1-173,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
233,C2,S1,S1-C2-233,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
146,C3,S1,S1-C3-146,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
211,C4,S1,S1-C4-211,SYM,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
61,D1,S1,S1-D1-61,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
96,D2,S1,S1-D2-96,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
219,D3,S1,S1-D3-219,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
55,D4,S1,S1-D4-55,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
160,A1,S2,S2-A1-160,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
44,A2,S2,S2-A2-44,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
62,A3,S2,S2-A3-62,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy
230,A4,S2,S2-A4-230,APO,2023.06.23,2023.10.09,,NA,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,sick,healthy
120,B1,S2,S2-B1-120,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
104,B2,S2,S2-B2-104,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
3,B3,S2,S2-B3-3,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,sick,healthy,dead,dead,dead,dead,dead,dead,dead,dead
178,B4,S2,S2-B4-178,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
158,C1,S2,S2-C1-158,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
150,C2,S2,S2-C2-150,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
86,C3,S2,S2-C3-86,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
97,C4,S2,S2-C4-97,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,sick,healthy,dead,sick,healthy,dead,healthy,healthy,healthy,healthy,healthy,healthy,healthy
195,D1,S2,S2-D1-195,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
81,D2,S2,S2-D2-81,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
174,D3,S2,S2-D3-174,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
102,D4,S2,S2-D4-102,SYM,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
198,A1,S4,S4-A1-198,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy
43,A2,S4,S4-A2-43,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
182,A3,S4,S4-A3-182,APO,2023.06.21,2023.10.09,,NA,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
51,A4,S4,S4-A4-51,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
122,B1,S4,S4-B1-122,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
149,B2,S4,S4-B2-149,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
192,B3,S4,S4-B3-192,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
147,B4,S4,S4-B4-147,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
156,C1,S4,S4-C1-156,SYM,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
105,C2,S4,S4-C2-105,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
47,C3,S4,S4-C3-47,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
141,C4,S4,S4-C4-141,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
142,D1,S4,S4-D1-142,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
181,D2,S4,S4-D2-181,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
143,D3,S4,S4-D3-143,SYM,2023.06.21,2023.10.09,,NA,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
132,D4,S4,S4-D4-132,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
83,A1,S5,S5-A1-83,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,sick,sick,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
204,A2,S5,S5-A2-204,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
98,A3,S5,S5-A3-98,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
31,A4,S5,S5-A4-31,APO,2023.06.21,2023.10.09,,NA,healthy,sick,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
171,B1,S5,S5-B1-171,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy
63,B2,S5,S5-B2-63,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
4,B3,S5,S5-B3-4,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
133,B4,S5,S5-B4-133,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
74,C1,S5,S5-C1-74,SYM,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,sick,healthy,healthy,healthy,healthy,healthy,healthy
169,C2,S5,S5-C2-169,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
45,C3,S5,S5-C3-45,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
213,C4,S5,S5-C4-213,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
201,D1,S5,S5-D1-201,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,sick,sick,sick,sick,dead,sick,healthy,healthy,sick,sick,sick,sick
88,D2,S5,S5-D2-88,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,sick,sick
187,D3,S5,S5-D3-187,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
179,D4,S5,S5-D4-179,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
