sample_id,cre.umol,cre.umol.mgprot
D1-A1-183,2.73719146809438,NA
D1-A2-68,5.801651470273574,NA
D1-A3-8,2.0332639995200337,NA
D1-A4-131,7.5546831745769545,NA
D1-D2-54,2.193555876359283,NA
D2-A1-79,0.7592493176936821,NA
D2-A3-188,0.9084032276717177,NA
D2-A4-139,2.317637259894698,NA
D2-D1-196,6.617901592863499,NA
D2-D2-194,0.12805505702388534,NA
D2-D3-23,3.5941313124203877,NA
D2-D4-5,1.7469292839840727,NA
D4-A1-161,1.3724324981730252,NA
D4-A2-60,1.4817318239738755,NA
D4-A4-163,1.890336398235267,NA
D4-D1-123,1.3244075114595086,NA
D4-D3-119,3.7652142121874985,NA
D4-D4-90,5.604040143846325,NA
D5-A1-39,10.471312597962555,NA
D5-A2-167,4.572223378528543,NA
D5-D1-136,3.084059551620242,NA
D5-D2-87,1.4329658661629252,NA
D5-D3-166,2.57447598444564,NA
G1-A1-176,4.512854730712657,NA
G1-A2-124,0.8233412907545904,NA
G1-A3-190,3.259142166853173,NA
G1-A4-126,1.6478646630014278,NA
G1-D1-22,0.43092759121455,NA
G1-D2-13,4.647106374517314,NA
G1-D3-82,0.5664083997421857,NA
G1-D4-78,1.0777861304085388,NA
G2-A2-73,1.5950135039223123,NA
G2-A4-193,0.6110804756258534,NA
G2-D3-177,0.47735542801835557,NA
G2-D4-34,1.06811274442396,NA
G4-A1-154,1.024117195088762,NA
G4-A4-151,0.7234886154437802,NA
G4-D1-6,0.9975416851978944,NA
G4-D2-189,4.2666273768257685,NA
G4-D3-138,1.1622099433488122,NA
G4-D4-40,1.572964305694424,NA
G5-A1-107,1.386837890061741,NA
G5-A3-117,2.1115085869977683,NA
G5-A4-14,2.548097488136814,NA
G5-B2-186,4.7465737033231585,NA
G5-D1-99,2.9736896721068393,NA
G5-D2-33,0.5737052621480065,NA
G5-D3-25,2.565423361119683,NA
S1-A1-89,1.6135511803099256,NA
S1-A2-29,3.097526958829484,NA
S1-A4-116,3.0586103593317735,NA
S1-D1-61,3.603175255087229,NA
S1-D2-96,3.657632244735172,NA
S1-D4-55,0.7684518713709502,NA
S2-A1-160,1.5515148288717762,NA
S2-A2-44,1.8150593750824144,NA
S2-A3-62,1.124646396948041,NA
S2-D1-195,0.5185246627208636,NA
S2-D2-81,2.8998685491715026,NA
S2-D3-174,0.6805636198211341,NA
S2-D4-102,1.8936979897242323,NA
S4-A1-198,1.4094223651459057,NA
S4-A2-43,1.3761323529362242,NA
S4-A3-182,1.3335072180161982,NA
S4-B3-192,3.25345113501618,NA
S4-D1-142,4.399084857138675,NA
S4-D2-181,3.589305140054788,NA
S4-D3-143,0.6948748452483879,NA
S4-D4-132,5.734741863239095,NA
S5-A1-83,0.9014446285401312,NA
S5-A4-31,1.541241721481956,NA
S5-D2-88,0.9249410463264207,NA
S5-D3-187,0.20844943258584156,NA
