"","Sample","Apo_Sym","Date_Deployed","Notes","spot","cage","survival_6.30.23","survival_7.5.23","survival_7.12.23"
"107",128,"SYM","2023.06.21","","C3","D2","healthy","healthy","healthy"
"108",131,"APO","2023.06.23","","A4","D1","healthy","healthy","healthy"
"109",132,"SYM","2023.06.21","","D4","S4","healthy","healthy","healthy"
"110",133,"APO","2023.06.23","","B4","S5","healthy","healthy","healthy"
"111",134,"SYM","2023.06.23","","C4","G4","healthy","healthy","healthy"
"112",136,"SYM","2023.06.21","","D1","D5","healthy","healthy","healthy"
"113",137,"APO","2023.06.23","","B1","D4","healthy","healthy","healthy"
"114",138,"SYM","2023.06.21","","D3","G4","healthy","healthy","healthy"
"115",139,"APO","2023.06.23","","A4","D2","healthy","healthy","healthy"
"116",141,"SYM","2023.06.21","","C4","S4","healthy","healthy","healthy"
"117",142,"SYM","2023.06.21","","D1","S4","healthy","healthy","healthy"
"118",143,"SYM","2023.06.21","","D3","S4","healthy","sick","healthy"
"119",145,"SYM","2023.06.21","","C4","D2","healthy","healthy","healthy"
"120",146,"SYM","2023.06.21","","C3","S1","healthy","healthy","healthy"
"121",147,"APO","2023.06.21","","B4","S4","healthy","healthy","healthy"
"122",149,"APO","2023.06.21","","B2","S4","healthy","healthy","healthy"
"123",150,"SYM","2023.06.21","","C2","S2","healthy","healthy","healthy"
"124",151,"APO","2023.06.21","","A4","G4","sick","sick","sick"
"125",152,"APO","2023.06.21","","C2","G1","healthy","healthy","healthy"
"126",153,"APO","2023.06.21","","B2","G2","healthy","healthy","healthy"
"127",154,"APO","2023.06.21","","A1","G4","healthy","healthy","sick"
"128",155,"APO","2023.06.23","","B3","G4","healthy","healthy","healthy"
"129",156,"SYM","2023.06.23","","C1","S4","healthy","healthy","healthy"
"130",157,"SYM","2023.06.21","","C2","G2","healthy","healthy","healthy"
"131",158,"SYM","2023.06.21","","C1","S2","healthy","healthy","healthy"
"132",160,"APO","2023.06.23","","A1","S2","healthy","healthy","healthy"
"133",161,"APO","2023.06.21","","A1","D4","healthy","healthy","healthy"
"134",162,"SYM","2023.06.21","","C1","G4","healthy","dead","healthy"
"135",163,"APO","2023.06.21","","A4","D4","healthy","healthy","healthy"
"136",166,"SYM","2023.06.21","","D3","D5","healthy","healthy","healthy"
"137",167,"APO","2023.06.21","","A2","D5","healthy","healthy","healthy"
"138",168,"SYM","2023.06.21","","C3","D5","healthy","healthy","healthy"
"139",169,"SYM","2023.06.21","","C2","S5","healthy","healthy","healthy"
"140",170,"APO","2023.06.23","","A2","G1","healthy","healthy","healthy"
"141",171,"APO","2023.06.23","","B1","S5","healthy","healthy","healthy"
"142",172,"SYM","2023.06.21","","C3","G2","healthy","healthy","healthy"
"143",173,"SYM","2023.06.21","","C1","S1","healthy","healthy","healthy"
"144",174,"SYM","2023.06.21","","D3","S2","healthy","healthy","healthy"
"145",176,"APO","2023.06.21","","D1","G1","healthy","healthy","healthy"
"146",177,"SYM","2023.06.21","","D3","G2","healthy","healthy","healthy"
"147",178,"APO","2023.06.23","","B4","S2","healthy","healthy","healthy"
"148",179,"SYM","2023.06.21","","D4","S5","healthy","healthy","healthy"
"149",180,"APO","2023.06.21","","A3","D5","healthy","healthy","healthy"
"150",181,"SYM","2023.06.21","","D2","S4","healthy","healthy","healthy"
"151",182,"APO","2023.06.21","","A3","S4","healthy","sick","healthy"
"152",183,"?","?","","A1","D1","healthy","healthy","healthy"
"153",184,"SYM","2023.06.21","","C2","D1","healthy","healthy","healthy"
"154",185,"SYM","2023.06.21","","C3","D4","healthy","healthy","healthy"
"155",186,"APO","2023.06.21","","B2","G5","healthy","healthy","healthy"
"156",187,"SYM","2023.06.21","","D3","S5","healthy","healthy","healthy"
"157",188,"APO","2023.06.21","","A3","D2","healthy","healthy","healthy"
"158",189,"SYM","2023.06.21","","D2","G4","healthy","healthy","healthy"
"159",190,"APO","2023.06.21","","B1","G1","healthy","healthy","healthy"
"160",192,"APO","2023.06.21","","B3","S4","healthy","healthy","healthy"
"161",193,"APO","2023.06.21","","A4","G2","healthy","healthy","healthy"
"162",194,"SYM","2023.06.23","","D2","D2","healthy","healthy","healthy"
"163",195,"SYM","2023.06.21","","D1","S2","healthy","healthy","healthy"
"164",196,"SYM","2023.06.21","","D1","D2","healthy","healthy","healthy"
"165",198,"APO","2023.06.23","","A1","S4","healthy","healthy","healthy"
"166",199,"APO","2023.06.23","","A4","D5","healthy","sick","healthy"
"167",200,"APO","2023.06.21","","A3","G2","healthy","healthy","healthy"
"168",201,"SYM","2023.06.21","","D1","S5","healthy","healthy","healthy"
"169",202,"APO","2023.06.23","","B4","G2","healthy","healthy","healthy"
"170",203,"SYM","2023.06.21","","D2","G2","healthy","healthy","healthy"
"171",205,"?","?","","D1","D1","healthy","healthy","healthy"
"172",204,"APO","2023.06.21","","A2","S5","healthy","healthy","healthy"
"173",206,"SYM","2023.06.21","",NA,NA,NA,NA,NA
"174",207,"SYM","2023.06.21","","D2","D4","healthy","healthy","healthy"
"175",208,"APO","2023.06.23","","B4","S1","healthy","healthy","healthy"
"176",209,"SYM","2023.06.21","","C1","D1","healthy","healthy","healthy"
"177",210,"APO","2023.06.21","","A3","S1","healthy","healthy","healthy"
"178",211,"SYM","2023.06.23","","C4","S1","healthy","healthy","healthy"
"179",213,"SYM","2023.06.21","","C4","S5","healthy","healthy","healthy"
"180",214,"APO","2023.06.21","","B3","D4","healthy","healthy","healthy"
"181",216,"APO","2023.06.21","","A3","G4","healthy","healthy","healthy"
"182",217,"SYM","2023.06.23","","C4","D5","healthy","healthy","healthy"
