sample_id,wax_dipping_inititals,wax_dipping_date,weight_before,weight_after,difference,surface_area
D1-C3-114,RMC,12/7/23,1.676,1.9859,0.3099,10.28969359
S1-A4-116,RMC,12/7/23,0.631,0.8892,0.2582,8.849582173
G5-A3-117,RMC,12/7/23,0.9178,1.0651,0.1473,5.760445682
G1-C1-118,RMC,12/7/23,1.2108,1.3851,0.1743,6.512534819
D4-D3-119,RMC,12/7/23,4.582,5.2266,0.6446,19.61281337
S2-B1-120,RMC,12/7/23,2.021,2.4448,0.4238,13.46239554
D5-C2-121,RMC,12/7/23,2.8317,3.1799,0.3482,11.35654596
S4-B1-122,RMC,12/7/23,2.3183,2.7039,0.3856,12.39832869
D4-D1-123,RMC,12/7/23,1.607,1.8678,0.2608,8.922005571
G1-A2-124,RMC,12/7/23,2.5433,2.9104,0.3671,11.88300836
G1-C3-125,RMC,12/7/23,1.9046,2.1998,0.2952,9.880222841
G1-A4-126,RMC,12/7/23,1.0078,1.146,0.1382,5.506963788
G5-B1-127,RMC,12/7/23,4.7278,5.3377,0.6099,18.64623955
D2-C3-128,RMC,12/7/23,1.8869,2.3039,0.417,13.2729805
D1-A4-131,RMC,12/7/23,1.904,2.234,0.33,10.84958217
S4-D4-132,RMC,12/7/23,2.9874,3.4421,0.4547,14.32311978
S5-B4-133,RMC,12/7/23,2.4991,2.9218,0.4227,13.43175487
G4-C4-134,RMC,12/7/23,1.3771,1.7201,0.343,11.21169916
D5-D1-136,RMC,12/7/23,1.4428,1.7475,0.3047,10.1448468
D4-B1-137,RMC,12/7/23,2.8262,3.3685,0.5423,16.7632312
G4-D3-138,RMC,12/7/23,3.653,4.4973,0.8443,25.17548747
D2-A4-139,RMC,12/7/23,1.2573,1.4899,0.2326,8.136490251
S4-C4-141,RMC,12/7/23,0.9336,1.0983,0.1647,6.245125348
S4-D1-142,RMC,12/7/23,1.0198,1.2886,0.2688,9.144846797
S4-D3-143,RMC,12/7/23,1.7163,2.0059,0.2896,9.724233983
D2-C4-145,RMC,12/7/23,0.7244,0.8997,0.1753,6.540389972
S1-C3-146,RMC,12/7/23,6.4992,7.5087,1.0095,29.77715877
S4-B4-147,RMC,12/7/23,1.1627,1.3913,0.2286,8.025069638
S4-B2-149,RMC,12/7/23,5.7697,6.4056,0.6359,19.37047354
S2-C2-150,RMC,12/7/23,1.5903,1.9083,0.318,10.51532033
G4-A4-151,RMC,12/7/23,1.5804,1.8661,0.2857,9.615598886
G1-B2-152,RMC,12/7/23,3.243,3.7325,0.4895,15.29247911
G2-B2-153,RMC,12/7/23,2.1723,2.5035,0.3312,10.88300836
G4-A1-154,RMC,12/7/23,1.2137,1.3909,0.1772,6.593314763
G4-B3-155,RMC,12/7/23,1.5783,1.9449,0.3666,11.86908078
S4-C1-156,RMC,12/7/23,5.5384,6.0065,0.4681,14.69637883
G2-C2-157,RMC,12/7/23,2.2441,2.5546,0.3105,10.30640669
S2-C1-158,RMC,12/7/23,3.2582,3.9511,0.6929,20.95821727
S2-A1-160,RMC,12/7/23,0.7898,0.9409,0.1511,5.866295265
D4-A1-161,RMC,12/7/23,4.4899,5.1052,0.6153,18.79665738
G4-C1-162,RMC,12/7/23,4.6273,5.2027,0.5754,17.68523677
D4-A4-163,RMC,12/7/23,5.6401,6.4922,0.8521,25.39275766
D5-D3-166,RMC,12/7/23,1.2308,1.4205,0.1897,6.941504178
D5-A2-167,RMC,12/7/23,1.2771,1.6421,0.365,11.82451253
D5-C3-168,RMC,12/7/23,2.0028,2.3799,0.3771,12.16155989
S5-C2-169,RMC,12/7/23,1.8332,2.3396,0.5064,15.7632312
S5-B1-171,RMC,12/7/23,0.7957,0.9621,0.1664,6.292479109
G2-C3-172,RMC,12/7/23,0.9544,1.1095,0.1551,5.977715877
S1-C1-173,RMC,12/7/23,2.2383,2.4876,0.2493,8.601671309
S2-D3-174,RMC,12/7/23,2.3028,2.7072,0.4044,12.92200557
G1-A1-176,RMC,12/7/23,3.2237,3.6567,0.433,13.71866295
G2-D3-177,RMC,12/7/23,2.6338,3.0018,0.368,11.90807799
S2-B4-178,RMC,12/7/23,0.6167,0.7574,0.1407,5.576601671
S5-D4-179,RMC,12/7/23,2.7245,3.2823,0.5578,17.19498607
S4-D2-181,RMC,12/7/23,4.0508,4.5646,0.5138,15.96935933
S4-A3-182,RMC,12/7/23,3.6412,4.086,0.4448,14.04735376
